geneName,ipf_n,control_n,ipf_mean,control_mean,ipf_sd,control_sd,contrast,diff,SE,tratio,pvalue
TSPAN6,103,103,10.24685085,9.706317198,0.755484184,0.60027273,ipf - control,0.536630675,0.097689505,5.493227498,1.23E-07
TNMD,103,103,1.043570185,1.094519639,1.511753391,1.584781209,ipf - control,-0.032344979,0.22228273,-0.145512785,0.884457098
DPM1,103,103,10.94669943,11.04151421,0.386604655,0.351642861,ipf - control,-0.093689647,0.053036921,-1.766498604,0.078884852
SCYL3,103,103,7.593089353,7.791363293,0.576921664,0.501916593,ipf - control,-0.197434165,0.076956763,-2.56552064,0.011057259
C1orf112,103,103,6.773514958,6.795087937,0.518627794,0.499106345,ipf - control,-0.002235082,0.072141267,-0.030982022,0.975315728
FGR,103,103,11.07373473,11.95329168,0.884876755,0.777672828,ipf - control,-0.902056307,0.118781095,-7.594275057,1.28E-12
CFH,103,103,12.85743805,11.70015335,0.580919266,0.631275196,ipf - control,1.171516528,0.087568174,13.37833691,2.39E-29
FUCA2,103,103,10.71055028,10.81217171,0.383511204,0.408983771,ipf - control,-0.089618875,0.056862176,-1.576071841,0.116638532
GCLC,103,103,9.875484842,9.313499497,0.816427701,0.588407084,ipf - control,0.545579625,0.102509274,5.322246518,2.82E-07
NFYA,103,103,9.028522443,9.395561267,0.463078001,0.41065944,ipf - control,-0.376587063,0.062767327,-5.999730805,9.52E-09
STPG1,103,103,7.348954657,7.352713942,0.939140292,0.563299872,ipf - control,-0.013470999,0.111820527,-0.120469824,0.904235657
NIPAL3,103,103,9.164860366,9.564792154,0.450198766,0.400376548,ipf - control,-0.403811656,0.061513644,-6.564586834,4.65E-10
LAS1L,103,103,9.945107119,10.13551387,0.366641295,0.345479638,ipf - control,-0.174811497,0.051447096,-3.397888535,0.000823988
SEMA3F,103,103,9.648248672,10.24682429,0.579947483,0.804817533,ipf - control,-0.593373641,0.101000334,-5.874967085,1.81E-08
CFTR,103,103,8.506225811,8.982619092,0.767096915,0.763402145,ipf - control,-0.515405436,0.106275264,-4.849721514,2.53E-06
ANKIB1,103,103,6.967378305,7.432443597,1.113535496,0.833699625,ipf - control,-0.472480155,0.139648476,-3.383353475,0.000866265
CYP51A1,103,103,5.968635941,6.678347414,1.068842149,1.191524387,ipf - control,-0.698033207,0.162514725,-4.295199762,2.76E-05
KRIT1,103,103,9.874933261,10.15158044,0.542298249,0.429272392,ipf - control,-0.255380883,0.070260549,-3.634769235,0.000356313
RAD52,103,103,8.890485345,9.033015357,0.971837358,0.719018613,ipf - control,-0.112211544,0.121941987,-0.920204333,0.3586088
BAD,103,103,11.70502468,11.95074824,0.392170847,0.353576391,ipf - control,-0.250971729,0.054523659,-4.602987653,7.52E-06
LAP3,103,103,12.08608003,12.37663504,0.495409212,0.519670054,ipf - control,-0.291680807,0.072779232,-4.007747791,8.73E-05
CD99,103,103,10.75618846,10.86410356,0.518566047,0.468953478,ipf - control,-0.149908613,0.065568862,-2.286277492,0.023318249
HS3ST1,103,103,6.232143809,5.211776871,1.501605572,1.525180414,ipf - control,0.94284382,0.218323885,4.318555531,2.50E-05
AOC1,103,103,5.795441474,4.566414099,0.853425479,0.814383411,ipf - control,1.209796903,0.118782244,10.1849979,8.66E-20
WNT16,103,103,1.568985669,1.293758131,1.277725334,1.258159439,ipf - control,0.305903172,0.181761768,1.682989644,0.093985689
HECW1,103,103,4.073182103,3.102548337,1.037433585,1.340697704,ipf - control,1.019986491,0.173324277,5.884844918,1.72E-08
MAD1L1,103,103,9.661189923,10.05213907,0.501941603,0.430779187,ipf - control,-0.391728475,0.067738833,-5.782923288,2.90E-08
LASP1,103,103,9.156620089,9.324522677,0.544429678,0.502685415,ipf - control,-0.165355861,0.076119619,-2.172315926,0.031044499
SNX11,103,103,9.763067866,10.07674968,0.317162136,0.321232734,ipf - control,-0.309550086,0.045786556,-6.760720075,1.57E-10
TMEM176A,103,103,10.46742139,9.920768326,0.56132724,0.737349765,ipf - control,0.555535386,0.093389351,5.948594576,1.24E-08
M6PR,103,103,11.84993766,12.07097849,0.477272647,0.38157875,ipf - control,-0.221043065,0.062227537,-3.552174426,0.000479623
KLHL13,103,103,7.545126544,6.04045168,0.846261474,1.075852534,ipf - control,1.521548263,0.139100843,10.93845469,5.31E-22
CYP26B1,103,103,6.944749335,7.24263416,1.088020046,1.203326477,ipf - control,-0.226899653,0.164547838,-1.378928194,0.169504662
ICA1,103,103,9.738357594,9.858806563,0.542844406,0.459253949,ipf - control,-0.118749742,0.07289197,-1.629119666,0.1049104
DBNDD1,103,103,7.720655107,7.679919254,0.623639086,0.540644704,ipf - control,0.029646839,0.083755573,0.353968554,0.723746856
ALS2,103,103,7.453204231,7.736934577,0.544064223,0.466481691,ipf - control,-0.279360538,0.072740118,-3.840529082,0.000166172
CASP10,103,103,9.369586126,9.525936517,0.49860541,0.365028926,ipf - control,-0.155068181,0.060905937,-2.546027361,0.011672527
CFLAR,103,103,12.20037016,12.78794531,0.516111769,0.602830383,ipf - control,-0.60479846,0.080601531,-7.503560439,2.19E-12
TFPI,103,103,11.00509046,11.8941946,0.593606162,0.568900482,ipf - control,-0.888179534,0.083000099,-10.70094548,2.67E-21
NDUFAF7,103,103,8.292956917,8.434138552,0.636903784,0.623248914,ipf - control,-0.117954704,0.090797214,-1.299100471,0.195451277
RBM5,103,103,12.27805516,12.42821958,0.660455747,0.493788528,ipf - control,-0.126407598,0.083517311,-1.513549657,0.131767525
MTMR7,103,103,3.91266791,4.267790893,1.006961069,0.896668371,ipf - control,-0.336817389,0.137776438,-2.444666118,0.015391668
SLC7A2,103,103,8.953012105,8.654879922,0.689903627,0.819378799,ipf - control,0.282039438,0.109853161,2.567422139,0.010998824
ARF5,103,103,9.421861814,9.725619909,0.592018255,0.432305637,ipf - control,-0.270081199,0.075030646,-3.599611792,0.000404619
SARM1,103,103,8.187588557,8.340646672,0.567913146,0.497981812,ipf - control,-0.119270787,0.076379898,-1.56154682,0.120024573
POLDIP2,103,103,1.381073553,2.174882871,1.979162085,2.386396382,ipf - control,-0.721353502,0.317174667,-2.274309955,0.024041701
PLXND1,103,103,12.69712273,13.2221301,0.618556554,0.492765948,ipf - control,-0.510413394,0.08015303,-6.367986263,1.36E-09
AK2,103,103,12.28070316,12.36900476,0.374068251,0.368657414,ipf - control,-0.093587387,0.05279075,-1.772798956,0.077831268
CD38,103,103,7.423306182,5.980201024,0.99745721,1.206179206,ipf - control,1.409114251,0.158916476,8.86701172,4.89E-16
FKBP4,103,103,8.238001239,8.295367706,0.907730671,0.995150404,ipf - control,-0.090364982,0.136264663,-0.66315786,0.508016656
KDM1A,103,103,10.73618497,10.85920482,0.376100442,0.282339026,ipf - control,-0.121828061,0.048092401,-2.533208125,0.012093649
RBM6,103,103,11.71621905,11.71783865,0.752685965,0.548142001,ipf - control,0.03334134,0.094177688,0.35402589,0.723703955
CAMKK1,103,103,8.101620101,8.336369654,0.567446446,0.548763736,ipf - control,-0.209655644,0.079685643,-2.631034104,0.009196599
RECQL,103,103,8.056545686,8.402309689,0.977427326,0.804372932,ipf - control,-0.337998618,0.127829044,-2.644145695,0.00885994
VPS50,103,103,7.272762928,7.515012185,0.715719872,0.604793553,ipf - control,-0.222994442,0.094816487,-2.351853028,0.019682657
HSPB6,103,103,2.619745622,2.902289046,1.66441496,1.46961683,ipf - control,-0.214806973,0.22570798,-0.951703051,0.342431797
ARHGAP33,103,103,9.337684025,9.364136207,0.961861743,0.732429054,ipf - control,0.020108318,0.12194484,0.164896836,0.869196875
NDUFAB1,103,103,7.413322155,7.350925537,0.775372671,0.655719889,ipf - control,0.063094975,0.104638314,0.602981568,0.547225204
PDK4,103,103,8.072624741,8.736159789,1.973556583,1.536050971,ipf - control,-0.695475057,0.254983618,-2.72752839,0.006966513
SLC22A16,103,103,6.082785061,5.999689336,0.7610122,0.641446396,ipf - control,0.152463201,0.099979653,1.524942294,0.12890204
ZMYND10,103,103,10.9555259,9.443580024,2.005523549,1.924385484,ipf - control,1.456985809,0.280919412,5.186490321,5.37E-07
ABCB5,103,103,3.698453938,3.327733376,1.087242968,1.014037152,ipf - control,0.349008364,0.15117687,2.308609535,0.022019052
ARX,103,103,4.596059261,3.1045036,3.725072825,3.500968955,ipf - control,1.545094093,0.519046835,2.97679128,0.003283838
SLC25A13,103,103,9.208470652,9.361509239,0.482905234,0.427630414,ipf - control,-0.13792112,0.065981679,-2.090294181,0.037894499
ST7,103,103,10.03619492,10.64762192,0.418710611,0.442411688,ipf - control,-0.61754562,0.061644625,-10.01783392,2.65E-19
CDC27,103,103,9.525894571,9.726348184,0.495126324,0.495607978,ipf - control,-0.204955085,0.070045005,-2.926048546,0.003842623
SLC4A1,103,103,4.258041237,4.886200095,0.656020057,0.73754762,ipf - control,-0.655153021,0.100481239,-6.52015266,5.94E-10
CALCR,103,103,0.821375459,1.641781374,0.933097274,1.555268298,ipf - control,-0.864745594,0.18083995,-4.781828317,3.43E-06
HCCS,103,103,8.232909625,8.389091276,0.390674744,0.380574035,ipf - control,-0.154065685,0.055207161,-2.790683004,0.005785058
DVL2,103,103,8.51412641,8.596374799,0.752212815,0.514340636,ipf - control,-0.068847351,0.092954939,-0.740652964,0.459799372
PRSS22,103,103,9.887341546,9.088075227,1.053670921,1.104563361,ipf - control,0.797564262,0.154626542,5.158003598,6.14E-07
UPF1,103,103,10.71548483,10.85662006,0.35184761,0.303465132,ipf - control,-0.146247348,0.047327925,-3.090085746,0.002295069
SKAP2,103,103,4.784861902,5.496824169,1.139286678,1.123292587,ipf - control,-0.674489977,0.159075608,-4.240059096,3.46E-05
SLC25A5,103,103,9.10175584,9.268410748,0.889536925,0.794860387,ipf - control,-0.139658372,0.121706648,-1.147499945,0.252588185
MCUB,103,103,7.244695012,7.074577488,0.70039081,0.664909474,ipf - control,0.198416102,0.096874304,2.048180921,0.041889385
HOXA11,103,103,0.547761948,0.518213822,0.777457236,0.751236101,ipf - control,0.037879447,0.111725106,0.339041498,0.734945174
POLR2J,103,103,11.38930334,11.57887621,0.348350599,0.353606291,ipf - control,-0.202358124,0.050612013,-3.998223195,9.07E-05
DHX33,103,103,4.971341475,5.168793274,1.163751301,1.066746713,ipf - control,-0.181975471,0.160132314,-1.136406925,0.257188114
MEOX1,103,103,6.827205186,4.088624009,1.72046208,1.850485738,ipf - control,2.811561049,0.248087254,11.33295242,3.56E-23
THSD7A,103,103,4.694614968,4.282788328,1.035588386,1.40879181,ipf - control,0.420920051,0.179524328,2.344640724,0.020056481
LIG3,103,103,9.064706814,9.155104736,0.509826435,0.48602162,ipf - control,-0.084863549,0.071937035,-1.179692074,0.23956731
RPAP3,103,103,9.11732538,8.954519615,0.45633568,0.419080796,ipf - control,0.15972493,0.06331856,2.52256101,0.012453676
ACSM3,103,103,8.938548046,9.554176684,0.770870543,0.774458393,ipf - control,-0.612125987,0.111612829,-5.484369432,1.28E-07
REXO5,103,103,6.704096246,6.518172537,0.627761661,0.608989571,ipf - control,0.204000226,0.08949376,2.279491065,0.023726123
CIAPIN1,103,103,9.932992047,10.0643468,0.421532522,0.393322281,ipf - control,-0.131729727,0.059491077,-2.214277063,0.027974275
SPPL2B,103,103,10.58110574,10.41641119,0.831856399,0.641254991,ipf - control,0.191275634,0.106941786,1.788595846,0.075240318
FAM214B,103,103,9.889365125,10.28047739,0.533335881,0.40423537,ipf - control,-0.398608352,0.068054299,-5.85721047,1.98E-08
COPZ2,103,103,9.284295318,9.082679642,0.795527486,0.653479137,ipf - control,0.221735706,0.102735586,2.158314513,0.032131858
PRKAR2B,103,103,1.040059965,1.506368915,1.48890992,1.930063744,ipf - control,-0.410362267,0.243630919,-1.684360375,0.093720182
MSL3,103,103,7.164908581,7.379486424,0.960869999,0.863014169,ipf - control,-0.200338907,0.129586087,-1.545990874,0.123736472
CREBBP,103,103,10.29846469,10.64622351,0.62978978,0.564289155,ipf - control,-0.345456496,0.084909375,-4.068531857,6.88E-05
TSPOAP1,103,103,9.910785579,9.91692106,0.890471087,0.652445473,ipf - control,0.001812174,0.112190343,0.016152675,0.98712919
MPO,103,103,4.722918099,5.866992177,0.920248774,1.839956576,ipf - control,-1.163986072,0.209100709,-5.566628998,8.56E-08
PON1,103,103,4.665338734,5.328802908,1.160598926,1.091972275,ipf - control,-0.650220091,0.162889617,-3.991783545,9.30E-05
GCFC2,103,103,9.529723896,9.631175413,0.422383739,0.42097662,ipf - control,-0.088946852,0.060311244,-1.474797165,0.141888077
WDR54,103,103,10.53772801,10.01436017,1.017891277,0.691429396,ipf - control,0.502598732,0.123765925,4.060881306,7.09E-05
CROT,103,103,9.042268384,8.626821139,0.646336533,0.549261354,ipf - control,0.418859347,0.085609384,4.892680302,2.08E-06
ABCB4,103,103,4.561937636,3.763048935,1.353312649,1.203640664,ipf - control,0.845289239,0.181759969,4.650579797,6.11E-06
KMT2E,103,103,10.28494127,10.71957366,0.487865353,0.403419633,ipf - control,-0.445213287,0.064603441,-6.891479419,7.54E-11
RHBDD2,103,103,11.6894,11.95132539,0.459630893,0.334786907,ipf - control,-0.271133885,0.057620895,-4.705478575,4.81E-06
SOX8,103,103,3.376655662,2.758428681,1.111341898,1.332379492,ipf - control,0.67042641,0.17370985,3.859461113,0.000154663
IBTK,103,103,8.796436648,8.784201939,0.554616387,0.409229339,ipf - control,0.021488344,0.070450279,0.305014321,0.76068223
ZNF195,103,103,9.504780739,9.62151524,0.579408859,0.547669394,ipf - control,-0.10619375,0.080798936,-1.31429639,0.190298287
MYCBP2,103,103,10.49968868,10.60445678,0.38424042,0.402103051,ipf - control,-0.082849937,0.055254917,-1.499412942,0.135392088
FBXL3,103,103,7.134410458,7.558346435,0.523635117,0.459482973,ipf - control,-0.419435643,0.071291823,-5.883362596,1.74E-08
ITGAL,103,103,9.798198096,10.58469171,0.793840376,0.786979093,ipf - control,-0.783363521,0.111436897,-7.029660195,3.44E-11
PDK2,103,103,9.739756781,10.07506487,0.596136863,0.65716463,ipf - control,-0.312905947,0.090457907,-3.45913319,0.000666162
ITGA3,103,103,10.96554134,11.56109637,0.717793062,0.652346793,ipf - control,-0.614596629,0.098791825,-6.221128388,2.98E-09
ZFX,103,103,8.640791332,9.075432297,0.602399787,0.564007466,ipf - control,-0.354418348,0.074073174,-4.784705811,3.38E-06
LAMP2,103,103,11.719875,11.98748731,0.506725731,0.397407126,ipf - control,-0.283475613,0.06456384,-4.390625048,1.86E-05
ITGA2B,103,103,5.707010165,6.996032259,1.174558228,1.176981324,ipf - control,-1.252943576,0.167696936,-7.471475668,2.64E-12
ASB4,103,103,4.390191674,4.878437321,1.545048352,1.330313336,ipf - control,-0.57784602,0.207252742,-2.788122432,0.005829176
GDE1,103,103,9.659546005,9.705380654,0.576615477,0.541817441,ipf - control,-0.067446498,0.079246639,-0.851096015,0.39576531
REX1BD,103,103,10.98951195,11.07733521,0.415569723,0.38221478,ipf - control,-0.082524652,0.058203779,-1.41785729,0.157836643
CRLF1,103,103,11.00379657,8.796768691,0.938875531,1.330507333,ipf - control,2.158811916,0.162228924,13.30719497,3.93E-29
AC003665.1,103,103,8.508939951,8.313521624,1.049766767,0.862707844,ipf - control,0.222058759,0.136693307,1.624503517,0.105891966
TMEM98,103,103,11.74147038,11.47092233,0.431993385,0.488438736,ipf - control,0.262988288,0.066745244,3.940180173,0.00011355
YBX2,103,103,3.96123421,3.453181642,1.267443467,1.095507598,ipf - control,0.514435099,0.170693646,3.013791741,0.002924532
KRT33A,103,103,0.08334915,0.063931675,0.325343812,0.298544155,ipf - control,0.039053514,0.044799958,0.871731054,0.384432654
MAP3K14,103,103,7.916289598,7.98423328,0.640691856,0.649929194,ipf - control,-0.047017753,0.090296964,-0.520701373,0.6031686
ABCC8,103,103,6.215120413,6.888705563,1.733536133,1.638142503,ipf - control,-0.712946194,0.244027264,-2.921584185,0.003895734
CACNG3,103,103,0.772527153,0.776684059,0.709606457,0.789485589,ipf - control,-0.029953321,0.106969456,-0.280017513,0.779762416
TMEM132A,103,103,9.530870167,9.27725895,0.602392381,0.685574568,ipf - control,0.262632404,0.092845589,2.828700932,0.005164765
AP2B1,103,103,11.25979587,11.51900656,0.367335921,0.295869391,ipf - control,-0.260268641,0.048069985,-5.414369073,1.80E-07
