,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
TGFB1,0.739176549,0.98555662,1.195542553,0.75218479,2.332576316,0.817716876,2.363796057,1.081969807,0.892283678,1.10253892,1.381307731,1.445639879,1.265226232,0.775493638,0.821500926,0.415230892,0.761371112,0.390168001,1.38213813,1.226097199,0.532723519,0.570096578
NOC2L,0.13406817,0.22989265,0.211693328,0.154185661,0.308301191,0.168650211,0.16872417,0.184664196,0.158511359,0.198644517,0.30798969,0.248794739,0.335968433,0.165835117,0.18727299,0.101915474,0.203183944,0.069158136,0.205934219,0.227649308,0.103411594,0.381611175
HES4,0.193468723,0.086570098,0.117260026,0.095663877,0.061450811,0.164589617,0.066250831,0.091099576,0.142462447,0.190019238,0.131075724,0.188983955,0.116765687,0.490879297,0.064483197,0.044364072,0.088320963,0.019054637,0.024233051,0.014834856,0.302318365,0.072461921
ISG15,0.577241358,0.557604699,0.978164764,0.461981104,1.552959409,0.928404583,5.066369472,2.58659609,0.761392275,1.797574621,1.374319785,0.805820156,1.261700421,0.857760972,0.658878964,1.015299745,0.767441208,0.453217883,0.940290431,0.657189732,0.960675945,0.349063692
AGRN,0.059907483,0.062720635,0.164381673,0.080512284,0.090367505,0.094169316,0.16514133,0.13405444,0.132202141,0.100471467,0.060772901,0.044158594,0.060207161,0.031322338,0.086588232,0.034522065,0.066020271,0.0286745,0.078564878,0.069496107,0.053828066,0.056148873
TTLL10,0.000569277,0.001096908,0.013669618,0.0048056,0.004514523,0.008393011,0.005702624,0.007293601,0.013783298,0.026459937,0.00385203,0.000139404,0.002038246,0.000200938,0.00107603,0.001639829,0.000869775,0.001144221,0.00290872,0.001749485,0.010872965,0.000306476
SDF4,0.883487606,1.069692929,0.89293357,0.81782518,1.760775891,0.857396306,1.115939987,1.144909059,0.740644547,1.09227215,1.134574779,0.804196034,1.288813946,0.716637353,1.016533245,0.300307782,0.534742265,0.318141806,1.103633462,1.073032142,0.445107899,0.909762917
UBE2J2,0.217113397,0.304700857,0.225867098,0.201585626,0.447021721,0.238226133,0.294633139,0.250340046,0.210486727,0.337857128,0.356101202,0.289052431,0.385868697,0.225675166,0.257193528,0.15878626,0.143194163,0.096243844,0.333310746,0.282674987,0.127432904,0.221081694
AURKAIP1,0.697478665,1.299541247,1.126003804,1.021037714,2.203609758,1.293531555,1.338372959,1.510834476,0.996008546,1.504863794,1.439029074,1.126228078,1.138774133,1.093110685,1.34780512,1.693090344,0.543963058,0.547695399,1.465043097,1.323748941,0.790354694,0.787921027
CCNL2,0.213669659,0.238729787,0.308240167,0.187550157,0.399849979,0.19046964,0.354497398,0.186168303,0.218209226,0.19924268,0.292417853,0.238174037,0.357034017,0.200191359,0.152410495,0.069413708,0.302590656,0.050077201,0.216780445,0.190024966,0.089642957,0.366989927
MRPL20,0.657760338,1.074613777,1.1967249,0.978058185,1.739006716,1.238041202,1.018992309,1.446674123,1.135331795,1.28255654,1.380226422,0.941339269,1.032194769,0.735009419,1.192709717,1.251962644,0.497218276,0.534799829,1.354940263,1.249002638,0.58152429,0.695163477
ANKRD65,0.012422204,0.007748586,0.050418782,0.058928974,0.015404337,0.105112632,0.005620984,0.025383486,0.07777296,0.097548264,0.026721526,0.023791631,0.010301272,0.0071697,0.01630437,0.012323406,0.000804422,0.001636172,0.010239139,0.002024478,0.015123112,0.00015281
VWA1,0.015949914,0.022809577,0.037011339,0.0411527,0.01287396,0.062081338,0.002781308,0.013113999,0.02213116,0.037951419,0.01009519,0.011801182,0.027116038,0.008503306,0.018601039,0.0075152,0.00255408,0.002791776,0.005691589,0.000249398,0.10656868,1.49E-05
SSU72,0.711764328,1.186881044,0.865239491,0.684023597,2.314131801,1.251309244,2.033676443,1.331596435,1.060996449,1.49296655,1.751034371,1.303183628,1.008125227,1.030701919,1.020793646,0.615395545,0.506085071,0.552309175,1.624032234,1.293419294,0.631726676,0.795620795
MIB2,0.06052082,0.06245805,0.058347818,0.049627051,0.150218595,0.096113716,0.122771069,0.060844228,0.052754664,0.070132302,0.068352523,0.079317426,0.073608224,0.066599819,0.047503183,0.026416685,0.050241208,0.019293875,0.104346067,0.068635125,0.055093077,0.042975115
CDK11B,0.229550126,0.157502784,0.2443785,0.165001883,0.377480554,0.156049854,0.271922839,0.202606963,0.175800319,0.162098784,0.238454796,0.264062261,0.36861761,0.288723672,0.155992441,0.212172294,0.148426828,0.061305404,0.2315163,0.222118355,0.099450923,0.327989764
SLC35E2B,0.053387361,0.065340562,0.078785207,0.076323124,0.177508496,0.060189662,0.058269476,0.061781587,0.071221004,0.073767782,0.071343107,0.122115104,0.097911929,0.083518393,0.047493767,0.027176035,0.031620329,0.028626438,0.099008567,0.107970931,0.03903143,0.192207529
CDK11A,0.127179095,0.14562353,0.14439452,0.100237045,0.333906485,0.146229522,0.235034479,0.162127787,0.118632706,0.141300004,0.240429194,0.233907757,0.25408268,0.222822943,0.083898299,0.095641778,0.194064585,0.040305385,0.136309605,0.18745067,0.055192531,0.372015618
NADK,0.119171647,0.195516688,0.192540316,0.156334753,0.464748527,0.221775517,0.382477269,0.197945714,0.194535249,0.28511538,0.293963037,0.245141194,0.416841535,0.214542586,0.146704996,0.082925726,0.287719933,0.056725637,0.238244998,0.17002112,0.113337164,0.410461968
GNB1,0.779810155,0.558284506,0.894388566,0.632203507,1.331358525,0.537289157,1.229201236,0.880096916,0.795102309,0.82263224,0.900456075,0.799215025,0.802474571,0.501216468,0.580027164,0.298195953,0.375049947,0.238780537,0.743256999,0.775286541,0.521806464,0.597035379
CFAP74,0.000221691,0.000330782,0.010572371,0.005498491,0.002456768,0.00686779,0.006162191,0.001354439,0.0097293,0.014102043,0.002601708,2.83E-05,0.001101966,4.60E-05,0.000298614,0.00072218,0.00145597,0.00254827,0.000159133,0.000322962,0.007018659,7.48E-05
PRKCZ,0.010683989,0.010531824,0.059437517,0.024915822,0.028570965,0.115727545,0.027376055,0.027309099,0.042868982,0.078686978,0.042183525,0.039627025,0.024618086,0.023065246,0.020428,0.003876574,0.013156369,0.005380833,0.041336662,0.003670584,0.025679884,0.00343327
FAAP20,0.424361768,0.458041707,0.657667764,0.568674529,0.999071402,0.824538559,0.693473066,0.777625525,0.612880939,0.86303152,0.73468716,0.575615828,0.662469714,0.564422459,0.560100674,0.642105414,0.281796359,0.265340244,0.755489877,0.503992372,0.297623859,0.464656838
